,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
54,0.1736453,0.17349148,-15.552605,-15.556256,24.832857,24.809652,-0.02538152,-0.025417686,0.00611309,0.006081127,,,,,,,,,,,,,855.1775,854.2383,1563.6313,1572.111,,,1648.5502,1641.6554,,,2572.9949,2573.9485,,
55,0.18130206,0.18113399,-14.983025,-14.989793,23.982271,23.982918,-0.02584066,-0.025848106,0.0039313342,0.003887236,,,,,,,,,,,,,1047.3058,1045.7152,1535.5092,1544.57,,,1838.3375,1830.6002,,,2845.5847,2845.0906,,
56,0.19023627,0.19008875,-12.013545,-12.023483,20.508772,20.51255,-0.0249231,-0.02496477,0.007165214,0.007111346,,,,,,,,,,,,,978.41406,975.5259,1466.4059,1473.0449,,,1876.8442,1871.6576,,,2916.8606,2916.0107,,
57,0.19188495,0.19173963,-12.379162,-12.38646,21.65969,21.67623,-0.038567305,-0.0385898,0.0152594065,0.015226922,,,,,,,,,,,,,996.3454,995.6062,1105.6456,1103.9987,,,1910.8275,1909.8394,,,2991.9915,2990.9768,,
58,0.19040532,0.19029863,-12.711789,-12.715766,22.418625,22.428255,-0.04550984,-0.04553081,0.019057678,0.019033426,,,,,,,,,,,,,1031.6659,1032.2938,1237.0969,1237.879,,,1834.4794,1833.7635,,,2908.1172,2907.5027,,
59,0.19124849,0.19119865,-11.884501,-11.885368,22.19332,22.197687,-0.037650272,-0.037626665,0.01605199,0.01603565,,,,,,,,,,,,,843.36426,844.1075,1368.2887,1368.7578,,,1603.1053,1602.5455,,,2609.2366,2608.7327,,
60,0.18722557,0.18722875,-11.067954,-11.064427,18.555841,18.547174,-0.03592519,-0.03590244,0.010491651,0.010503489,,,,,,,,,,,,,827.8667,828.46387,1541.1249,1540.1078,,,1582.4747,1582.1276,,,2659.4006,2659.0674,,
61,0.19231574,0.1923786,-11.715543,-11.709526,18.538757,18.521013,-0.03404573,-0.03401198,0.010164399,0.0101565635,,,,,,,,,,,,,869.76044,869.3295,1409.0898,1406.8701,,,1720.8735,1720.8043,,,2726.492,2725.8193,,
62,0.18818885,0.18817739,-14.409818,-14.406184,22.272781,22.257454,-0.04159439,-0.041567247,0.013242555,0.013257924,,,,,,,,,,,,,1073.3193,1072.8163,1248.1803,1246.808,,,1941.7988,1941.4711,,,3054.6985,3053.8777,,
63,0.19561966,0.19561969,-15.218217,-15.216702,24.785162,24.768946,-0.03984985,-0.0398557,0.010617252,0.010610804,,,,,,,,,,,,,1139.0311,1138.7037,1222.5051,1223.1023,,,1970.5387,1969.6093,,,3082.3118,3081.4082,,
