start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:01.290000,0 days 00:00:01.310000,0.19408984,-10.7541,32.599293,-0.036117148,0.005907889,0.0,0.0,0.0,0.0,0.0,0.0,873.0999,1311.0272,-138.83089,1605.6367,-138.83089,2809.53,-149.25362
0 days 00:00:01.300000,0 days 00:00:01.320000,0.18763036,-12.367446,31.519508,-0.028522544,0.0006557911,38.113796,0.0,0.0,6.6216555,8.477811,38.44406,1035.3339,1340.285,-77.47378,1914.3691,-79.516365,3086.8818,-94.984
0 days 00:00:01.310000,0 days 00:00:01.330000,0.21709657,-12.854435,29.774153,-0.0136518115,-0.0015544576,38.09168,0.0,0.0,7.117108,11.926064,37.8119,857.4205,1544.8701,-12.09839,1683.5094,-16.49011,3054.7175,-41.79114
0 days 00:00:01.320000,0 days 00:00:01.340000,0.26765662,-13.530175,28.70333,-0.0042166435,-0.0044646957,38.075947,0.0,0.0,7.5068398,11.36319,37.324757,621.0681,1517.204,-8.605114,1711.066,-15.716057,3098.8193,-41.65594
0 days 00:00:01.330000,0 days 00:00:01.350000,0.33442363,-11.514569,25.964361,0.0030190104,-0.0036752576,38.117825,0.035243466,1.4764913,6.779951,10.781864,39.17023,618.77966,1429.1202,-8.111386,1579.9536,-12.334419,3034.547,-42.81567
0 days 00:00:01.340000,0 days 00:00:01.360000,0.3792781,-9.561613,21.543638,-0.0009195297,-0.0007308048,38.181427,0.026133219,1.437781,6.01216,6.5133796,39.407516,851.8196,1282.9863,-11.828349,1792.1588,-12.135914,3221.7664,-41.504917
0 days 00:00:01.350000,0 days 00:00:01.370000,0.41891715,-8.146449,17.010704,0.0013881931,-0.0019655505,38.261494,0.010717668,0.9479949,5.871965,6.1468873,30.39009,827.39374,1337.3276,-15.736121,1742.6923,-13.555726,2875.3513,-30.799109
0 days 00:00:01.360000,0 days 00:00:01.380000,0.4629446,-7.58129,12.446713,-0.00071416487,-0.004155236,38.403027,0.00850517,1.0252551,6.1146026,5.928047,20.636099,617.22626,1387.0023,0.0,1542.9662,-15.468468,2506.2214,-20.026419
0 days 00:00:01.370000,0 days 00:00:01.390000,0.49700704,-8.325533,9.793817,0.013227034,-0.012450968,38.549175,0.007837947,0.98565674,5.7431316,5.755587,18.905401,417.20752,1510.496,0.0,1452.7511,-15.396359,2418.9924,-18.590605
0 days 00:00:01.380000,0 days 00:00:01.400000,0.55239516,-7.8702316,8.384734,0.014640541,-0.01767665,38.667393,0.0074107796,0.89753264,5.16316,5.9984703,18.532347,447.2142,1369.7394,-1.1144042,1528.873,-17.664938,2527.836,-19.634186
0 days 00:00:01.390000,0 days 00:00:01.410000,0.55942893,-8.034525,7.323253,0.019038135,-0.027360275,38.714245,0.005617984,0.69514227,5.016044,7.1505094,22.439108,449.9293,1388.6449,0.0,1663.5568,-19.315327,2606.13,-25.142197
0 days 00:00:01.400000,0 days 00:00:01.420000,0.5058159,-8.370838,8.952052,-0.0009966455,-0.028840175,38.733017,0.005471448,0.42193058,5.178954,7.9758945,17.624992,415.17236,1232.216,0.0,1595.2882,-82.61219,2347.5146,-81.08161
