start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:02.440000,0 days 00:00:02.460000,0.76210576,-9.418849,13.285649,0.014151101,-0.02513192,34.412956,0.005412255,1.2621084,3.7871568,2.8886147,9.020174,463.9008,1416.9067,5.1161456,1234.0255,-7.8282075,1942.8278,-2.247228
0 days 00:00:02.450000,0 days 00:00:02.470000,0.6807516,-11.630887,16.569412,-0.0029113982,-0.026373625,34.37013,0.0074282675,1.2511164,4.606936,2.7583916,9.339535,485.39352,1434.5587,5.6479764,1334.0795,-4.691826,2086.7527,-1.6594929
0 days 00:00:02.460000,0 days 00:00:02.480000,0.68311757,-11.646943,16.364237,-0.019219507,-0.027049853,34.26427,0.007907282,1.1393074,4.888565,1.541854,10.215598,518.9858,1344.9242,5.9429436,1444.5684,-0.08566638,2299.112,-2.7308009
0 days 00:00:02.470000,0 days 00:00:02.490000,0.7402408,-10.605418,16.208319,-0.015376591,-0.029728508,34.172993,0.0068253293,0.79574114,5.2436233,-1.2186521,12.121867,500.71036,1153.6996,6.5334163,1590.0482,1.5277342,2492.6936,-5.7033973
0 days 00:00:02.480000,0 days 00:00:02.500000,0.78959924,-9.403183,15.095448,-0.0019974897,-0.0339244,34.116222,0.0063383407,0.95925,6.083908,-2.9600077,12.303177,477.88162,1077.086,5.902615,1505.5786,0.3288871,2423.076,-6.8907733
0 days 00:00:02.490000,0 days 00:00:02.510000,0.834244,-8.633126,15.22583,0.0087824175,-0.034073252,34.09757,0.0057889246,1.2781359,7.084518,-3.9599788,13.393048,440.16797,1190.4816,5.0536575,1416.2736,-0.6530468,2311.8342,-8.339391
0 days 00:00:02.500000,0 days 00:00:02.520000,0.8472485,-8.752425,15.163499,-0.002170014,-0.026778238,34.128513,0.004584762,0.98028445,7.0378556,-4.3591413,15.158452,444.7439,1502.8398,4.7335944,1327.6233,-3.0584838,2326.5745,-10.424858
0 days 00:00:02.510000,0 days 00:00:02.530000,0.8610366,-8.956687,17.167288,0.0064854547,-0.01962,34.18632,0.0036842786,0.8755119,5.924122,-4.253294,17.751465,598.15234,1689.3783,5.389812,1409.4033,-5.222381,2423.934,-13.679668
0 days 00:00:02.520000,0 days 00:00:02.540000,0.8213833,-9.284413,19.50487,0.01996004,-0.017705925,34.238506,0.0031224703,0.5053402,4.0845428,-3.377673,20.7193,599.3074,1655.4664,5.208432,1423.4825,-5.1636033,2504.5789,-16.828882
0 days 00:00:02.530000,0 days 00:00:02.550000,0.77085227,-9.793934,23.438095,0.03492916,-0.016724965,31.904678,0.13073292,1.104724,1.7894278,-4.0734267,18.120394,584.4194,1446.4603,2.0184855,1457.1627,-6.5220566,2512.0815,-19.618544
0 days 00:00:02.540000,0 days 00:00:02.560000,0.6772945,-10.5769825,26.546646,0.014495657,-0.0141535,29.547693,0.2575365,1.7328705,-0.7946269,-4.6004577,14.051877,437.6644,1265.0591,-2.8200443,1366.979,-7.344305,2496.2026,-20.857817
0 days 00:00:02.550000,0 days 00:00:02.570000,0.5830612,-11.314397,26.517723,-0.0007904386,-0.008509247,27.191406,0.38396305,2.2743042,-2.16272,-5.978844,9.178958,450.72696,1136.1539,-71.259285,1330.6937,-73.8808,2432.3655,-81.364494
0 days 00:00:02.560000,0 days 00:00:02.580000,0.5120964,-9.372846,23.55712,-0.017025888,-0.0027283488,0.0,0.0,0.0,0.0,0.0,0.0,451.50977,993.04596,-136.40346,1322.222,-137.16656,2393.4104,-141.03783
0 days 00:00:02.570000,0 days 00:00:02.590000,0.4632516,-6.4953866,21.133467,-0.024823241,0.004591241,0.0,0.0,0.0,0.0,0.0,0.0,446.44437,964.96686,-135.32076,1298.8893,-134.07689,2352.137,-139.47432
0 days 00:00:02.580000,0 days 00:00:02.600000,0.4294127,-3.1156213,20.8272,-0.023171736,0.008562283,13.938723,0.0,0.0,-6.6818905,3.6622536,22.415447,445.25003,992.82587,-69.704704,1309.6061,-68.841896,2391.0212,-78.608795
0 days 00:00:02.590000,0 days 00:00:02.610000,0.37926844,-5.0666575,22.110746,-0.03331901,0.0055650324,13.686208,0.0,0.0,-5.636208,5.2423453,22.847252,426.6399,1054.2689,-4.793117,1303.8407,-5.151497,2414.5535,-17.876413
0 days 00:00:02.600000,0 days 00:00:02.620000,0.33478665,-7.3398147,23.426392,-0.029462025,0.0046680737,13.541412,0.0,1.4992948,-3.4651558,8.664167,23.846704,411.69727,1159.1294,-7.0160537,1289.0043,-8.830006,2425.5215,-19.048685
0 days 00:00:02.610000,0 days 00:00:02.630000,0.35085022,-10.582789,23.711588,-0.052541565,0.0014510831,13.275478,0.0,1.5496374,-2.4748526,12.571929,23.81518,388.7826,1375.3583,-8.776176,1253.327,-11.70364,2370.8958,-19.937548
0 days 00:00:02.620000,0 days 00:00:02.640000,0.3611491,-11.107513,24.241241,-0.044439405,-0.0006895356,13.369797,0.037601635,1.15581,-2.299652,76.41107,23.407572,392.05283,1391.4703,-9.999462,1242.339,-14.7052,2337.3713,-21.192625
0 days 00:00:02.630000,0 days 00:00:02.650000,0.37076095,-11.570285,23.130926,-0.051072504,-0.005822087,14.082718,0.03915034,0.7619826,-3.9178019,75.42626,22.61928,400.4917,1314.9336,-9.813534,1253.5116,-16.404745,2318.9463,-22.06105
0 days 00:00:02.640000,0 days 00:00:02.660000,0.33956584,-12.05346,23.86927,-0.048019562,-7.2020106e-05,14.605273,0.016031569,0.78053886,-6.178576,72.743034,21.956955,371.9188,1236.6559,-8.700477,1257.4594,-17.046125,2337.7043,-21.782068
0 days 00:00:02.650000,0 days 00:00:02.670000,0.3270387,-13.22685,24.448334,-0.04584093,0.000108104665,15.175841,0.023356175,1.011902,-7.7582436,9.154572,21.691414,368.6036,1255.3247,-72.38878,1304.705,-77.73496,2336.094,-81.25938
