start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:08.300000,0 days 00:00:08.320000,0.0990746,-22.27218,32.39527,-0.03496765,0.0028926742,0.06461079,24.330719,17.023123,12.564925,13.59066,0.0,0.0,0.0,0.0,0.0,0.0,594.74945,1482.7183,-201.0,1694.9648,1196.9137,-201.0,2645.1367,1296.9669,-201.0
0 days 00:00:08.310000,0 days 00:00:08.330000,0.113683246,-21.565763,31.013311,-0.018478828,0.0052041444,0.06515595,26.835617,16.724457,15.211572,14.10107,0.0,0.0,0.0,0.0,0.0,0.0,789.2993,1393.1582,-201.0,1804.5576,1176.7588,-201.0,2839.1965,947.0516,-201.0
0 days 00:00:08.320000,0 days 00:00:08.340000,0.14761232,-21.350344,29.506601,-0.00607872,-0.00013600306,0.063821666,29.99663,14.41936,18.341963,15.727336,0.0,0.0,0.0,0.0,0.0,0.0,783.4372,1394.6278,-201.0,1816.0342,1139.0865,-201.0,2905.453,881.74994,-201.0
0 days 00:00:08.330000,0 days 00:00:08.350000,0.18178193,-19.98366,27.947279,-0.0007317988,-0.0027019437,0.08502226,31.822695,9.729466,19.421125,16.10108,0.0,0.0,0.0,0.0,0.0,0.0,609.99097,1269.6503,-136.35435,1703.4008,1043.0354,-138.62642,2828.279,868.4974,-137.93005
0 days 00:00:08.340000,0 days 00:00:08.360000,0.22404826,-15.538457,22.590422,0.0059544444,-0.004179242,0.09323508,31.098715,2.1803427,20.040564,16.87376,34.114746,0.0,0.0,6.6006675,-5.167522,3.8472958,344.7313,1408.6035,-104.03155,1520.3467,869.5828,-76.33811,2674.2625,842.8693,-73.73028
0 days 00:00:08.350000,0 days 00:00:08.370000,0.3047922,-9.942759,15.280835,-0.005478248,-0.0071135503,0.11954082,30.79445,-8.261037,19.84599,16.643053,34.10403,0.0,2.7141728,7.307035,-5.772817,3.1627362,389.94247,1484.318,0.0,1557.2572,930.39923,-14.524743,2622.3464,933.0013,-8.471751
0 days 00:00:08.360000,0 days 00:00:08.380000,0.40931213,-5.797413,8.583279,-0.0051644593,-0.012001286,0.12562968,31.447317,-17.043222,23.197828,13.3580065,34.080963,0.028277315,2.4202132,8.522651,-6.974413,2.0079076,386.81082,1382.0532,0.72473013,1533.0094,809.51447,-15.851658,2488.5527,960.75165,-5.663601
0 days 00:00:08.370000,0 days 00:00:08.390000,0.5129822,-4.248696,6.324516,-0.00752135,-0.019857476,0.1337781,31.901075,-20.390364,27.952616,6.199919,34.05563,0.02061734,1.8222176,8.745049,-7.3566375,1.7830696,441.45023,1150.8903,-0.067300044,1532.2773,770.55634,-17.90928,2388.5059,1057.8932,-4.1781716
0 days 00:00:08.380000,0 days 00:00:08.400000,0.5674824,-5.2792025,6.9491477,0.014294728,-0.022410817,0.12964767,31.46073,-20.273684,31.647089,-2.1429718,34.04131,0.013139001,1.3043203,8.446381,-6.989676,2.9175758,402.10608,967.63214,-1.9000629,1523.5812,590.61896,-20.451906,2346.1514,1096.8134,-4.8176384
0 days 00:00:08.390000,0 days 00:00:08.410000,0.58230144,-6.4010787,8.82379,0.029385315,-0.026738366,0.10655155,30.27623,-17.19974,34.378582,-7.138687,34.039124,0.003384438,0.83742666,7.7750897,-5.509781,5.8148026,406.62595,973.2368,-1.8810558,1555.8739,613.76495,-23.537743,2360.1367,1139.8566,-7.6958585
