file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.120000,0 days 00:00:03.140000,0.46611616,-17.590586,22.108185,0.0018608123,-0.019301765,0.40936887,27.99215,13.159013,15.265204,2.0980988,27.258057,0.22630931,1.8468393,0.13929033,9.452825,28.350853,388.19547,1392.6874,1.6924834,1465.014,1293.962,-22.505747,2378.572,745.23193,-25.784845
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.130000,0 days 00:00:03.150000,0.39971647,-17.935259,25.642141,0.0020195332,-0.016816882,0.25357583,27.342627,14.966248,10.557769,3.748978,21.107832,0.22822253,2.1730995,-2.8061492,9.815574,26.612137,381.7958,1240.8855,-1.2600853,1341.8394,1086.5897,-18.843275,2394.1436,649.6948,-24.009216
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.140000,0 days 00:00:03.160000,0.34860292,-17.72215,26.77622,-0.021150976,-0.013824172,0.22850092,26.028328,15.622003,8.361642,4.695826,14.786507,0.3402332,2.1816938,-4.6206927,10.448567,26.895927,371.92264,1272.9069,-6.888008,1295.472,1005.6076,-18.809519,2424.4756,525.7292,-25.056168
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.150000,0 days 00:00:03.170000,0.30806825,-17.114317,27.932318,-0.042239297,-0.011749946,0.17489852,23.99098,13.045811,5.7386928,8.64321,14.083302,0.0,2.6566408,-4.767225,12.910415,26.852694,381.45703,1410.0485,-11.72907,1257.039,1113.6578,-18.957087,2356.2253,701.09033,-26.13357
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.160000,0 days 00:00:03.180000,0.2853035,-15.389476,25.568007,-0.048676047,-0.012554864,0.15975393,20.968796,11.773431,5.475062,5.746159,13.625438,0.0,2.6566408,-4.5878377,13.217053,23.393967,400.19226,1383.6328,-13.201058,1271.6088,1121.2773,-17.176065,2383.154,684.72754,-22.83451
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.170000,0 days 00:00:03.190000,0.28543767,-14.911643,27.416489,-0.045388114,-0.010743096,0.16025795,20.871658,10.630974,2.4801004,5.6968675,13.141373,0.0,2.6566408,-4.3321643,12.661946,21.28774,413.03427,1344.7832,-75.33594,1268.8118,1101.3069,-77.15084,2370.5715,769.4672,-80.63201
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.180000,0 days 00:00:03.200000,0.291422,-12.193878,25.905243,-0.032304123,-0.008779466,0.19329922,20.306458,9.214942,3.5228531,4.688919,0.0,0.0,0.0,0.0,0.0,0.0,397.60922,1319.5819,-68.50309,1277.1837,976.4283,-76.896416,2455.7031,718.9368,-74.54356
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.190000,0 days 00:00:03.210000,0.4383155,-9.473754,20.868124,-0.049849033,-0.008717441,0.24866736,16.281174,7.4440055,10.508698,3.8333695,33.524895,0.0,0.0,2.331328,-3.4403555,17.837276,409.27686,1282.8456,-62.254337,1316.2577,744.5401,-77.05866,2467.1199,729.9401,-74.14586
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.200000,0 days 00:00:03.220000,0.6085789,-6.105782,13.98264,-0.03898184,-0.014402657,0.29587522,10.613317,8.22845,15.86748,-4.4477277,33.307323,0.0,0.0,2.7168016,-3.3190358,14.345796,409.30466,1133.9325,6.6318574,1417.8232,496.78525,-13.7683,2517.185,675.60284,-7.713938
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.210000,0 days 00:00:03.230000,0.8994396,-6.480564,10.627086,-0.016171383,-0.026740074,0.6139184,12.27433,3.6408768,19.78798,-13.774388,33.046783,0.0,0.0,3.892558,-3.149538,12.258527,419.58035,904.5632,5.7298126,1521.4081,305.56436,-9.890697,2513.9102,680.6454,-6.5287147
